"CustomerID","recence","frequence","montant","r_score","f_score","m_score","Segment","ca_cumul_segment","ca_total_segment","pct_ca_cumul_segment","ABC_intra","total_clients","rang_client","pct_clients","ca_cumul","ca_total","pct_ca","Pareto_Classique","Top_20_Clients","Priorite_Exec","Budget_Category","Dormants_Risk"
14646,1.02638888888889,73,280206.02,5,5,5,"VIP",280206.02,5922465.95,0.0473123902046241,"A",4338,1,0.000230520977408944,280206.02,8911407.904,0.0314435185796204,"Top 20% Clients","Oui","P1 - Investir (VIP A)","Élevé - ROI Max","Standard"
18102,0.0416666666666667,60,259657.3,5,5,5,"VIP",539863.32,5922465.95,0.0911551580976164,"A",4338,2,0.000461041954817888,539863.32,8911407.904,0.0605811478742518,"Top 20% Clients","Oui","P1 - Investir (VIP A)","Élevé - ROI Max","Standard"
17450,7.97291666666667,46,194550.79,5,5,5,"VIP",734414.11,5922465.95,0.124004783851902,"A",4338,3,0.000691562932226833,734414.11,8911407.904,0.0824128036682452,"Top 20% Clients","Oui","P1 - Investir (VIP A)","Élevé - ROI Max","Standard"
16446,0.149305555555556,2,168472.5,5,2,5,"Récents",168472.5,1219046.202,0.138200258303253,"A",4338,4,0.000922083909635777,902886.61,8911407.904,0.101318065532016,"Top 20% Clients","Oui","P2 - Tester (Récents A)","Moyen - Potentiel","Standard"
14911,0.872222222222222,201,143825.06,5,5,5,"VIP",878239.17,5922465.95,0.148289441832924,"A",4338,5,0.00115260488704472,1046711.67,8911407.904,0.117457497319831,"Top 20% Clients","Oui","P1 - Investir (VIP A)","Élevé - ROI Max","Standard"
12415,23.9361111111111,21,124914.53,5,4,5,"VIP",1003153.7,5922465.95,0.169381083567057,"A",4338,6,0.00138312586445367,1171626.2,8911407.904,0.131474870483047,"Top 20% Clients","Oui","P1 - Investir (VIP A)","Élevé - ROI Max","Standard"
14156,9.08055555555556,55,117379.63,5,5,5,"VIP",1120533.33,5922465.95,0.18920046809218,"A",4338,7,0.00161364684186261,1289005.83,8911407.904,0.14464670946343,"Top 20% Clients","Oui","P1 - Investir (VIP A)","Élevé - ROI Max","Standard"
17511,2.10972222222222,31,91062.38,5,5,5,"VIP",1211595.71,5922465.95,0.20457622217313,"A",4338,8,0.00184416781927155,1380068.21,8911407.904,0.154865339446592,"Top 20% Clients","Oui","P1 - Investir (VIP A)","Élevé - ROI Max","Standard"
16029,38.0993055555556,63,81024.84,4,5,5,"VIP",1292620.55,5922465.95,0.218257151820349,"A",4338,9,0.0020746887966805,1461093.05,8911407.904,0.16395759971263,"Top 20% Clients","Oui","P1 - Investir (VIP A)","Élevé - ROI Max","Standard"
12346,325.117361111111,1,77183.6,2,1,5,"Dormants",77183.6,504276.491,0.153058096852665,"A",4338,10,0.00230520977408944,1538276.65,8911407.904,0.172618812489722,"Top 20% Clients","Oui","P3 - Automatiser (Dormants)","Faible - Efficience","Valeur passée - ROI incertain"
16684,3.94722222222222,28,66653.56,5,4,5,"VIP",1359274.11,5922465.95,0.22951151116369,"A",4338,11,0.00253573075149839,1604930.21,8911407.904,0.180098389310583,"Top 20% Clients","Oui","P1 - Investir (VIP A)","Élevé - ROI Max","Standard"
14096,3.81458333333333,17,65164.79,5,4,5,"VIP",1424438.9,5922465.95,0.240514493797976,"A",4338,12,0.00276625172890733,1670095,8911407.904,0.187410902743029,"Top 20% Clients","Oui","P1 - Investir (VIP A)","Élevé - ROI Max","Standard"
13694,3.1375,50,65039.62,5,5,5,"VIP",1489478.52,5922465.95,0.25149634165478,"A",4338,13,0.00299677270631627,1735134.62,8911407.904,0.194709370134562,"Top 20% Clients","Oui","P1 - Investir (VIP A)","Élevé - ROI Max","Standard"
15311,0.0347222222222222,91,60767.9,5,5,5,"VIP",1550246.42,5922465.95,0.261756915630726,"A",4338,14,0.00322729368372522,1795902.52,8911407.904,0.20152848341662,"Top 20% Clients","Oui","P1 - Investir (VIP A)","Élevé - ROI Max","Standard"
13089,2.15833333333333,97,58825.83,5,5,5,"VIP",1609072.25,5922465.95,0.271689573833683,"A",4338,15,0.00345781466113416,1854728.35,8911407.904,0.208129665927141,"Top 20% Clients","Oui","P1 - Investir (VIP A)","Élevé - ROI Max","Standard"
17949,0.752777777777778,45,58510.48,5,5,5,"VIP",1667582.73,5922465.95,0.281568985635114,"A",4338,16,0.00368833563854311,1913238.83,8911407.904,0.214695461212276,"Top 20% Clients","Oui","P1 - Investir (VIP A)","Élevé - ROI Max","Standard"
15769,6.95694444444444,26,56252.72,5,4,5,"VIP",1723835.45,5922465.95,0.291067177853509,"A",4338,17,0.00391885661595205,1969491.55,8911407.904,0.221007900347146,"Top 20% Clients","Oui","P1 - Investir (VIP A)","Élevé - ROI Max","Standard"
15061,3.03055555555556,48,54534.14,5,5,5,"VIP",1778369.59,5922465.95,0.300275190269351,"A",4338,18,0.004149377593361,2024025.69,8911407.904,0.227127487800383,"Top 20% Clients","Oui","P1 - Investir (VIP A)","Élevé - ROI Max","Standard"
14298,7.98472222222222,44,51527.3,5,5,5,"VIP",1829896.89,5922465.95,0.308975502003519,"A",4338,19,0.00437989857076994,2075552.99,8911407.904,0.232909660556371,"Top 20% Clients","Oui","P1 - Investir (VIP A)","Élevé - ROI Max","Standard"
14088,9.85694444444444,13,50491.81,5,4,5,"VIP",1880388.7,5922465.95,0.317500972715597,"A",4338,20,0.00461041954817888,2126044.8,8911407.904,0.238575635062749,"Top 20% Clients","Oui","P1 - Investir (VIP A)","Élevé - ROI Max","Standard"
15749,234.979166666667,3,44534.3,2,2,4,"Dormants",121717.9,504276.491,0.241371355144137,"A",4338,21,0.00484094052558783,2170579.1,8911407.904,0.243573083331278,"Top 20% Clients","Oui","P3 - Automatiser (Dormants)","Faible - Efficience","Valeur passée - ROI incertain"
12931,21.0076388888889,15,42055.96,5,4,4,"VIP",1922444.66,5922465.95,0.324602062085304,"A",4338,22,0.00507146150299677,2212635.06,8911407.904,0.248292422907365,"Top 20% Clients","Oui","P1 - Investir (VIP A)","Élevé - ROI Max","Standard"
17841,1.02986111111111,124,40991.57,5,5,4,"VIP",1963436.23,5922465.95,0.331523430708791,"A",4338,23,0.00530198248040572,2253626.63,8911407.904,0.25289232119971,"Top 20% Clients","Oui","P1 - Investir (VIP A)","Élevé - ROI Max","Standard"
15098,181.886805555556,3,39916.5,2,2,4,"Dormants",161634.4,504276.491,0.320527335469224,"A",4338,24,0.00553250345781466,2293543.13,8911407.904,0.257371579744488,"Top 20% Clients","Oui","P3 - Automatiser (Dormants)","Faible - Efficience","Valeur passée - ROI incertain"
